_class,_id,amount,asset_id,asset_name,balance,col_id,created_by,date_created,date_modified,deleted_by,deleted_date,driver_id,franchise_id,is_deleted,is_expired,payment_mode,payment_type,plan_id,source_creation,status,system_created_date,transaction_id,transaction_ref_no
com.collection.api.rest.model.EscrowBook,62835e5209dba80bca4507d1,5000,3,Test,5000,4,Test,2022-05-12T00:00:00.000Z,2022-05-17T09:38:33.520Z,Test,-000001-11-28T00:00:00.000Z,46,2,false,,APP,invoice,,APP,created,2022-05-12T00:00:00.000Z,544,879
com.collection.api.rest.model.EscrowBook,62835e5709dba80bca4507d2,5000,3,Test,5000,5,Test,2022-05-13T00:00:00.000Z,2022-05-17T08:35:35.016Z, ,-000001-11-28T00:00:00.000Z,45,2,false,,APP,invoice,,APP,created,2022-05-17T08:35:35.016Z,543,878
com.collection.api.rest.model.EscrowBook,62835e5c09dba80bca4507d3,5000,3,Test,5000,6,Test,2022-05-12T00:00:00.000Z,2022-05-17T08:35:40.840Z, ,-000001-11-28T00:00:00.000Z,45,2,false,,APP,invoice,,APP,created,2022-05-17T08:35:40.840Z,543,878
com.collection.api.rest.model.EscrowBook,62835e6109dba80bca4507d4,5000,3,Test,5000,7,Test,2022-05-15T00:00:00.000Z,2022-05-17T08:35:45.554Z, ,-000001-11-28T00:00:00.000Z,46,2,false,,APP,invoice,,APP,created,2022-05-17T08:35:45.554Z,543,878
com.collection.api.rest.model.EscrowBook,628492faa54e84acf3ee08d4,5000,3,Test,5000,8,Test,2022-05-15T00:00:00.000Z,2022-05-18T06:32:26.516Z, ,-000001-11-28T00:00:00.000Z,46,2,false,,APP,invoice,,APP,created,2022-05-18T06:32:26.516Z,543,878
com.collection.api.rest.model.EscrowBook,6287208aa54e8406452b8dcf,5000,3,Test,5000,9,Test,2022-05-15T00:00:00.000Z,2022-05-20T05:00:58.610Z, ,-000001-11-28T00:00:00.000Z,45,2,false,false,APP,invoice,25623,APP,created,2022-05-20T05:00:58.610Z,543,878
com.collection.api.rest.model.EscrowBook,628720a0a54e8406452b8dd0,5600,3,Test,5000,10,Test,2022-05-15T00:00:00.000Z,2022-05-20T05:01:20.015Z, ,-000001-11-28T00:00:00.000Z,49,5,false,false,APP,invoice,25623,APP,created,2022-05-20T05:01:20.015Z,543,878
com.collection.api.rest.model.EscrowBook,628720afa54e8406452b8dd1,9600,3,Test,5000,11,Test,2022-05-15T00:00:00.000Z,2022-05-20T05:01:35.297Z, ,-000001-11-28T00:00:00.000Z,48,8,false,false,APP,invoice,25623,APP,created,2022-05-20T05:01:35.297Z,543,878
com.collection.api.rest.model.EscrowBook,628720b1a54e8406452b8dd2,9600,3,Test,5000,12,Test,2022-05-15T00:00:00.000Z,2022-05-20T05:01:37.946Z, ,-000001-11-28T00:00:00.000Z,48,8,false,false,APP,invoice,25623,APP,created,2022-05-20T05:01:37.946Z,543,878
com.collection.api.rest.model.EscrowBook,628720b2a54e8406452b8dd3,9600,3,Test,5000,13,Test,2022-05-15T00:00:00.000Z,2022-05-20T05:01:38.549Z, ,-000001-11-28T00:00:00.000Z,48,8,false,false,APP,invoice,25623,APP,created,2022-05-20T05:01:38.549Z,543,878
com.collection.api.rest.model.EscrowBook,628720b3a54e8406452b8dd4,9600,3,Test,5000,14,Test,2022-05-15T00:00:00.000Z,2022-05-20T05:01:39.242Z, ,-000001-11-28T00:00:00.000Z,48,8,false,false,APP,invoice,25623,APP,created,2022-05-20T05:01:39.242Z,543,878
com.collection.api.rest.model.EscrowBook,628b5197a54e8406452b8dd5,-190,2,A10001,-190,15,Test,2021-11-17T00:00:00.000Z,2022-05-23T09:19:19.770Z, ,-000001-11-28T00:00:00.000Z,51,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:19:19.770Z,0,0
com.collection.api.rest.model.EscrowBook,628b5360a54e8406452b8dd6,-190,3,A10002,-190,16,Test,2021-11-17T00:00:00.000Z,2022-05-23T09:26:56.251Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:26:56.251Z,0,0
com.collection.api.rest.model.EscrowBook,628b53e3a54e8406452b8dd7,-190,3,A10002,-190,17,Test,2021-11-17T00:00:00.000Z,2022-05-23T09:29:07.464Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,3,APP,Created,2022-05-23T09:29:07.464Z,0,0
com.collection.api.rest.model.EscrowBook,628b5427a54e8406452b8dd8,-190,4,A10003,-190,18,Test,2021-11-17T00:00:00.000Z,2022-05-23T09:30:15.282Z, ,-000001-11-28T00:00:00.000Z,53,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:30:15.282Z,0,0
com.collection.api.rest.model.EscrowBook,628b54a2a54e8406452b8dd9,-190,2,A10001,-190,19,Test,2021-11-18T00:00:00.000Z,2022-05-23T09:32:18.927Z, ,-000001-11-28T00:00:00.000Z,51,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:32:18.927Z,0,0
com.collection.api.rest.model.EscrowBook,628b54c2a54e8406452b8dda,-190,3,A10002,-190,20,Test,2021-11-18T00:00:00.000Z,2022-05-23T09:32:50.378Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:32:50.378Z,0,0
com.collection.api.rest.model.EscrowBook,628b54e0a54e8406452b8ddb,-190,3,A10002,-190,21,Test,2021-11-18T00:00:00.000Z,2022-05-23T09:33:20.094Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,3,APP,Created,2022-05-23T09:33:20.094Z,0,0
com.collection.api.rest.model.EscrowBook,628b5508a54e8406452b8ddc,-190,4,A10003,-190,22,Test,2021-11-18T00:00:00.000Z,2022-05-23T09:34:00.803Z, ,-000001-11-28T00:00:00.000Z,53,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:34:00.803Z,0,0
com.collection.api.rest.model.EscrowBook,628b5537a54e8406452b8ddd,-190,2,A10001,-190,23,Test,2021-11-19T00:00:00.000Z,2022-05-23T09:34:47.430Z, ,-000001-11-28T00:00:00.000Z,51,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:34:47.430Z,0,0
com.collection.api.rest.model.EscrowBook,628b5560a54e8406452b8dde,-190,3,A10002,-190,24,Test,2021-11-19T00:00:00.000Z,2022-05-23T09:35:28.797Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:35:28.797Z,0,0
com.collection.api.rest.model.EscrowBook,628b5582a54e8406452b8ddf,-190,3,A10002,-190,25,Test,2021-11-19T00:00:00.000Z,2022-05-23T09:36:02.828Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,3,APP,Created,2022-05-23T09:36:02.828Z,0,0
com.collection.api.rest.model.EscrowBook,628b55aea54e8406452b8de0,-190,4,A10003,-190,26,Test,2021-11-19T00:00:00.000Z,2022-05-23T09:36:46.458Z, ,-000001-11-28T00:00:00.000Z,53,30,false,false,APP,invoice,6,APP,Created,2022-05-23T09:36:46.458Z,0,0
com.collection.api.rest.model.EscrowBook,628c91bba54e8406452b8de1,-190,2,A10001,-190,27,Test,2021-11-17T00:00:00.000Z,2022-05-24T08:05:15.394Z, ,-000001-11-28T00:00:00.000Z,51,30,false,false,APP,invoice,6,APP,Created,2022-05-24T08:05:15.394Z,0,0
com.collection.api.rest.model.EscrowBook,628c9e9ca54e8406452b8de2,-190,2,A10001,-190,28,Test,2021-11-17T00:00:00.000Z,2022-05-24T09:00:12.441Z, ,-000001-11-28T00:00:00.000Z,51,30,false,false,APP,invoice,6,APP,Created,2022-05-24T09:00:12.441Z,0,0
com.collection.api.rest.model.EscrowBook,628c9ffba54e8406452b8de3,-190,3,A10002,-190,29,Test,2021-11-17T00:00:00.000Z,2022-05-24T09:06:03.465Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,6,APP,Created,2022-05-24T09:06:03.465Z,0,0
com.collection.api.rest.model.EscrowBook,628ca042a54e8406452b8de4,-190,3,A10002,-190,30,Test,2021-11-17T00:00:00.000Z,2022-05-24T09:07:14.516Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,3,APP,Created,2022-05-24T09:07:14.516Z,0,0
com.collection.api.rest.model.EscrowBook,628ca064a54e8406452b8de5,0,92,A10091,-3610,31,Test,2022-05-22T00:00:00.000Z,2022-05-24T09:07:48.900Z, ,-000001-11-28T00:00:00.000Z,636,0,false,false,APP,invoice,6,APP,Created,2022-05-24T09:07:48.900Z,0,0
com.collection.api.rest.model.EscrowBook,628ca086a54e8406452b8de6,-190,4,A10003,-190,32,Test,2021-11-17T00:00:00.000Z,2022-05-24T09:08:22.928Z, ,-000001-11-28T00:00:00.000Z,53,30,false,false,APP,invoice,6,APP,Created,2022-05-24T09:08:22.928Z,0,0
com.collection.api.rest.model.EscrowBook,628ca0caa54e8406452b8de7,-190,2,A10001,-190,33,Test,2021-11-18T00:00:00.000Z,2022-05-24T09:09:30.164Z, ,-000001-11-28T00:00:00.000Z,51,30,false,false,APP,invoice,6,APP,Created,2022-05-24T09:09:30.164Z,0,0
com.collection.api.rest.model.EscrowBook,628ca109a54e8406452b8de8,-190,3,A10002,-190,34,Test,2021-11-18T00:00:00.000Z,2022-05-24T09:10:33.898Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,6,APP,Created,2022-05-24T09:10:33.898Z,0,0
com.collection.api.rest.model.EscrowBook,628ca14ea54e8406452b8de9,-190,3,A10002,-190,35,Test,2021-11-18T00:00:00.000Z,2022-05-24T09:11:42.412Z, ,-000001-11-28T00:00:00.000Z,52,30,false,false,APP,invoice,3,APP,Created,2022-05-24T09:11:42.412Z,0,0
com.collection.api.rest.model.EscrowBook,628ca18fa54e8406452b8dea,-190,4,A10003,-190,36,Test,2021-11-18T00:00:00.000Z,2022-05-24T09:12:47.850Z, ,-000001-11-28T00:00:00.000Z,53,30,false,false,APP,invoice,6,APP,Created,2022-05-24T09:12:47.850Z,0,0
